year;taladradora;limones;cazadora;azafrán;uvas;comino;medias;pala;laurel;mandarinas;sierra;zapatos;romero;piña;tornillos;guantes
mean_1800_2008;1,3737816993320605e-06;0,0001130706962096353;2,8120399502386134e-05;5,54232833276725e-05;0,00030925960042319883;4,1226249592168075e-05;0,001493223171793731;0,000317494377809392;0,00043459235489987514;1,3017912228338721e-05;0,0018444633594004497;0,0006056870342571294;0,0001036562738204717;8,283313807724918e-05;0,00016019423016064852;0,0002192622107255076
mean_1900-2008;2,6320972430816616e-06;9,930330489778251e-05;3,744782113836906e-05;6,81735582912151e-05;0,000292620578200488;4,978785757430657e-05;0,00171205012589;0,00029534782074968236;0,00038072056729955534;2,405859239238489e-05;0,0018613027872864925;0,0007657075707883319;8,487954546300903e-05;0,00011765684909360254;0,0001601733009273225;0,00024391218776049887
1800;0,0;0,000265075669858561;9,790280142141228e-06;1,711219486111304e-05;0,0009084394491765124;2,672294741046244e-05;0,0013717227147935773;0,0008600135686265276;0,0004901729482753581;0,0;0,0007596119303343585;0,00065339744423909;0,0003403341821694994;3,966334354288392e-05;0,00024090968544498992;0,0002202026394115819
1801;0,0;0,00024273746930703058;1,0899917342044319e-05;2,90282225989813e-05;0,0008187823550542815;3,058143761336396e-05;0,0013775608204014134;0,000861846815496392;0,00047803376673982706;0,0;0,0007130136782507179;0,0006014554128341842;0,0003837268673123618;3,377580370056421e-05;0,00021011134350601426;0,00023240315385919533
1802;0,0;0,00022583201560640495;9,083264451703599e-06;3,0613128979932e-05;0,0007122923648239521;4,5823851261654155e-05;0,0014910595837136498;0,0008054506565713382;0,00045242124618501595;0,0;0,0007108615363904391;0,0006055856753543292;0,00034278793539973173;2,814650308380351e-05;0,00018205097494690864;0,00022953072781698816
1803;0,0;0,0002474329984839382;9,468864600340307e-06;4,3071917994146656e-05;0,0007047960382676267;4,0960796151726496e-05;0,0017880635303819353;0,0007551898404147193;0,0004626924529865002;0,0;0,0008399095674706456;0,0005619952746980873;0,00031233353346189166;2,749199278387745e-05;0,00016277653023572775;0,00027753467618042905
1804;0,0;0,00029376715896692725;1,3601612940712065e-05;5,443762550580036e-05;0,0006008148602631991;3,862524908169819e-05;0,0018337790217109223;0,0006852221336625267;0,0004558965494132801;0,0;0,0007812867871897261;0,0005227122723486641;0,0003550577080854315;2,9809358892407545e-05;0,00016483900862697607;0,00027916028102481505
1805;0,0;0,00033532021299314304;9,63725465144957e-06;5,5598338986685895e-05;0,0007342597427850706;3,4660890792435695e-05;0,0019000971535985756;0,000552432269224872;0,00043998417952804763;0,0;0,0008020172572287265;0,000508496136067801;0,0003923071549901838;1,8755519854656605e-05;0,00010780167575116399;0,00027532030669265496
1806;0,0;0,0003495841529651703;8,52473464517191e-06;5,5218031137980824e-05;0,0006796894565143573;3,3724322991344836e-05;0,0017941008601545555;0,0005035437295321442;0,0004196124466813801;0,0;0,000993784202104767;0,00046649260444350403;0,00037656145650544204;2,0043992066121064e-05;0,00017716928815454075;0,0002626454715937143
1807;0,0;0,0003208496228320915;8,52473464517191e-06;5,614295151953488e-05;0,0006344135304711276;3,8853678217622344e-05;0,0018114092979106189;0,0005007323222473912;0,00038628293168585515;0,0;0,0014713852514043019;0,0004988239067772936;0,00031430565091536015;2,1407402580767405e-05;0,00016936105201434008;0,00024811606311102096
