year;teatro;iglesia;hospital;hospital;ayuntamiento;museo;colegio;estación;juzgado;metro;fábrica;farmacia;correos
mean_1800_2008;0,004702457180685357;0,00878559731418196;0,0026811097851247093;0,0026811097851247093;0,0016829114022772836;0,0005653795092442315;0,002637209018529085;0,0021311567381549264;0,0021498850484115554;0,001308464035669709;0,0031150673660213847;0,00045221992433747913;0,0011726516984907234
mean_1900-2008;0,005703807654567057;0,0060925879626706385;0,002239224347868194;0,002239224347868194;0,0005946661377519225;0,0007629319456038362;0,002326821053538608;0,0032525637762349092;0,0013775115823647904;0,001614464187788467;0,0030329977408592237;0,00035420734060321625;0,0007922312460445932
1800;0,0028019535420753527;0,005306149796524551;0,0035601797890194575;0,0035601797890194575;0,000690323372509738;0,0001658314332075861;0,0011658874200293212;0,000250889314656888;0,0013288369927977328;0,0005783937808701012;0,003454768420851906;0,00021464226165335276;0,0005566459549299907
1801;0,0029082748369546607;0,005392237144405954;0,0034995173882634845;0,0034995173882634845;0,0006197479524416849;0,000234921591300008;0,001136200262408238;0,00027638121991913067;0,0012338378473941702;0,000536339662176033;0,0038579586907872;0,0002310225454493775;0,000545528082511737
1802;0,0026788743525685277;0,0063684951480051195;0,003400661459333302;0,003400661459333302;0,0005753336078366071;0,00021878353872277026;0,0017106285364813327;0,00024316357022750404;0,0013450634014589014;0,0004774586993031941;0,004131840705667855;0,0002208867878531843;0,0007837825781583282
1803;0,0026614344408569324;0,006296106792953131;0,0037244763916532975;0,0037244763916532975;0,0005806699781325213;0,0002254009578856702;0,0017010607345062973;0,00022020838303303335;0,001279152183997212;0,0004353400592143382;0,0043453102210021044;0,00023477818363712037;0,000721468313713558
1804;0,002528040567995049;0,008570664327375457;0,0038433150751058876;0,0038433150751058876;0,0006917316048722048;0,0002852569837484355;0,0016229269541716868;0,00022623720578199676;0,0012999828738559569;0,00040643697372745786;0,0039457126539283694;0,0002070454667903375;0,0007945601607519035
1805;0,0021683872676346383;0,009521808585434752;0,0040107929765196915;0,0040107929765196915;0,0006825864147685934;0,00028488138192577547;0,0016994427434318432;0,00019970071808269755;0,0013431764143336164;0,0002842381369256535;0,0050248853377914725;0,00024804522321833896;0,0008273969342553755
1806;0,0021570056950232746;0,009227789424975137;0,00395237795081422;0,00395237795081422;0,0006612552429682442;0,0003155380211085555;0,001747706405045132;0,0003450203239806017;0,001319279363087844;0,00023253989525073848;0,004959676750461638;0,00029454383983258073;0,0011135237140739004
1807;0,0023057133278468556;0,009308755241883253;0,003633438791439403;0,003633438791439403;0,0007126446754617584;0,0003120963632292322;0,0018486833661362262;0,0003347432904580013;0,0014874540024071134;0,00025696708446178363;0,004832508836573522;0,000495141393587671;0,0011778986780492623
1808;0,0021332953500469948;0,010316573025193065;0,0033099475850966497;0,0033099475850966497;0,0012270396902230069;0,0002705617378394111;0,001930624200342988;0,00028969508239892354;0,0017412945713398847;0,0002156300906465601;0,004575322184661802;0,000515789395194588;0,0013696167375850824
1809;0,0025408710826013703;0,011983821812983868;0,0034552263969089836;0,0034552263969089836;0,0018081939742842223;0,0003618882374212262;0,0020012649656564463;0,0003012421879183031;0,0017438606716625926;0,00023112482706112914;0,004198941236869099;0,0005764997678982452;0,0012176075480445953
1810;0,0027266495895414016;0,014143064670081782;0,003104454507203107;0,003104454507203107;0,003229305821150774;0,0004815528654944501;0,0021971038092617945;0,00030390633095781335;0,0019808490053817096;0,00022154549290982165;0,0035568732008479332;0,0005909033575335343;0,001311731031299652
1811;0,003186429564396219;0,01418938383202268;0,003161278826675178;0,003161278826675178;0,003513181127345888;0,0003822408343369586;0,002201780327076059;0,00033573465023956875;0,002087411303364206;0,00020857286001176235;0,003399006566594055;0,0005733725418264969;0,0013117996981496358
1812;0,003470608628828943;0,01651416517103956;0,003237399557422448;0,003237399557422448;0,003482987079093748;0,00037976632337891454;0,0023370606088844526;0,00037837488175033025;0,0022019692810967433;0,00020688313985114552;0,0021535629587430905;0,0005727931547231232;0,0012590405341532979
1813;0,0036459669510285108;0,017975204484953013;0,0030378568356224734;0,0030378568356224734;0,00365288291115056;0,0003681994883208972;0,002649188328567626;0,0002368928595127987;0,0021698398086300585;0,00023124028822556805;0,002979770345388845;0,0005481080295664599;0,0010697688529554788
1814;0,004027975878021347;0,018849026361879493;0,003071708774119283;0,003071708774119283;0,003777403896622543;0,0004117519186560717;0,002720118910864195;0,0002779992947970251;0,0035390405823168946;0,00018326119126348722;0,0031431460748925543;0,0003275010060731022;0,0011276069406968808
1815;0,0039794686277413605;0,018253562198619226;0,0031398770650931896;0,0031398770650931896;0,0034554696672525354;0,00047387974534883275;0,0026757058159481467;0,0004350508593883465;0,0036452890266705906;0,00022687254873484823;0,003603416345348316;0,00027619381138980055;0,0009586743999534519
1816;0,0035660364379249843;0,016212257157479013;0,003051805392065684;0,003051805392065684;0,0030048043624576947;0,00037403523427721145;0,0021937920921897914;0,0004629361910701846;0,003744243713299511;0,00019643685667298475;0,0035478073966390055;0,00022559749400638144;0,0009374261220987787
1817;0,003358380555645064;0,015375380046732192;0,0035004208777016698;0,0035004208777016698;0,002740733563249315;0,0002445096242809086;0,0021591663815862766;0,0005296255592059294;0,00381373989252357;0,00019200025138031506;0,003832390848401701;0,00023577533089077666;0,0010428513308267742
1818;0,0030535242720881274;0,014309068501461297;0,0035589436395509566;0,0035589436395509566;0,002946740817476114;0,00028191959456437744;0,0022356981259820585;0,0005361017851360625;0,0038534902679592574;0,00024089929573684846;0,003918183457634379;0,00043766708423780595;0,001183209919223113
1819;0,0028704406499205754;0,01158328928535671;0,0036986028395144133;0,0036986028395144133;0,0033858603273984045;0,00026585296544518703;0,002423455771349836;0,000512159327367304;0,003838938066889698;0,0002901269778833791;0,004041660784943295;0,0005191148618775644;0,0011695742354537028
1820;0,0025721738893480506;0,012609081646327729;0,003430820730240417;0,003430820730240417;0,004140155527108748;0,00024251735989569819;0,002190716259065084;0,000510421104341471;0,003946192035592893;0,0002373435985906066;0,0029004379809651126;0,0005920678323231446;0,0010754313344867633
1821;0,002151445252301138;0,012541829554330825;0,003650473757131424;0,003650473757131424;0,004134024103612839;0,00020757317023318525;0,0022064520245684044;0,00047757249766228985;0,00265389298874652;0,00023062470972945448;0,0028572738821302274;0,000671649107581678;0,0010296704463793763
1822;0,0021931885904840393;0,014819935001599203;0,0037112507405774;0,0037112507405774;0,004157497564197651;0,0001280396970417184;0,0023431750897933462;0,00033313937787430144;0,0024726276283867526;0,0001973813904701923;0,0021696998373954557;0,00068908501426839;0,0011045059636671795
1823;0,0024453735542400473;0,01601614401027161;0,0037585862498547484;0,0037585862498547484;0,004410525538592732;0,00014853423847073697;0,0024464332454954274;0,0003133608434576932;0,002402516552787607;0,0003176660153972729;0,002173897649169833;0,0007055900531278374;0,001198831062408447
1824;0,0023483654980996755;0,014837416425247545;0,00332828897496386;0,00332828897496386;0,0033150037130066524;0,00014221255517960735;0,002268420160232511;0,00024557227951455777;0,0022901292530670097;0,0003517520115435348;0,002004608567014137;0,0007873887982766195;0,0010780965502427925
1825;0,002144552620718189;0,014039128706956814;0,0036591536367528276;0,0036591536367528276;0,002823180628703475;0,00012121225592766547;0,0021125058732910213;0,00019345016783388146;0,0025494177472345264;0,00033094231477142396;0,0019400022210902534;0,0006095828991549622;0,00088999427134695
1826;0,002113587340448118;0,014809837115795484;0,0033572888631689625;0,0033572888631689625;0,0028219290080804577;0,00011780915493935545;0,00194401137767792;0,00017917585799815633;0,002610054278712986;0,0003019423680988049;0,0022592148525291122;0,0005093649828527955;0,0010059232798604561
1827;0,0028860909359147108;0,013188786293280179;0,003307547272665293;0,003307547272665293;0,0020969055055632324;0,00012859850845156222;0,0019106968855859513;0,00015528016287394815;0,00261634499370952;0,0003564456343545836;0,0024866677059825243;0,0004973898804954453;0,001042189465546731
1828;0,0031385940279246172;0,015272827191178555;0,0033391718066663346;0,0033391718066663346;0,0020852001788236;0,00013980295047336507;0,002716459247104857;0,00014542441379359974;0,0025101370608483975;0,000556916183670962;0,0034766451790346764;0,0004186950133901389;0,0010881751157804892
1829;0,0033720616296964833;0,01651801836227865;0,0035989594834973104;0,0035989594834973104;0,002262259983711244;0,00017375446239904186;0,002748265550118439;0,00014176300575335126;0,0025122064991072485;0,0005566523603712474;0,003697007845663133;0,00042401613557428524;0,0010854562203478832
1830;0,003548888551969347;0,016122867132902945;0,0039421767983835055;0,0039421767983835055;0,002055508554933892;0,0002146599285879347;0,0030065048511979903;0,00024639250081496096;0,0024400861418273833;0,0006497777836297505;0,003910903511236289;0,0008035155458076457;0,0010974548331432743
1831;0,003910941658042637;0,01706528679018707;0,004045960226254205;0,004045960226254205;0,0022996997618715148;0,00020670571042761106;0,003202591778972419;0,0002691639094466934;0,0024315910195582546;0,0006702597504824683;0,003982415026777224;0,0006745809352131411;0,0010915864874862433
1832;0,004106019852250549;0,017597442430477322;0,0035442019517566746;0,0035442019517566746;0,002523632507031185;0,00021271838802152033;0,0033544401568568515;0,00031157245530266664;0,0020961669049159226;0,0007176768576755421;0,004087962692470423;0,0007717097040378057;0,0012155704033440478
