year;sierra;escalera;casco;maletín;cono;cubo;linterna;chaleco;martillo;pincel;pala;manguera;taladro;polea;destornillador
mean_1800_2008;0,0018444633594004497;0,0008315128400675088;0,00062956150123959;3,076451416855667e-05;0,0006462632427894864;0,00025816723526768837;0,00018045323576082939;0,0001283438907563369;0,00034424271824700937;0,00036802190753586217;0,000317494377809392;3,116988359760419e-05;8,121528847554495e-05;0,00010001222748366444;6,158299915027107e-06
mean_1900-2008;0,0018613027872864925;0,0008363700841544531;0,0005333745489943556;5,673773755153179e-05;0,0005611918055391319;0,0002103537217916887;0,0001748598988112111;0,00014066864695933288;0,0003037410592787081;0,00032178804274188614;0,00029534782074968236;5,322291303614425e-05;7,620855650718364e-05;6,727490421126308e-05;9,014540142601945e-06
1800;0,0007596119303343585;0,0007074406539686606;0,0012182924820081098;0,0;0,0017750333427102305;0,0007599645527989196;0,0002882781785729094;5,1184544602733695e-05;0,0007443606136803282;0,00043205296265114157;0,0008600135686265276;2,1022174223617185e-06;0,00016898975019330464;0,0003694312624702434;2,7172294636557126e-06
1801;0,0007130136782507179;0,0006947956444491865;0,001044168366206577;0,0;0,0016112462253659034;0,0007245439883263316;0,0003093600003012398;4,912815114721525e-05;0,0006875192866573343;0,00046425984237430384;0,000861846815496392;1,6817739378893748e-06;0,00015768821754136297;0,0003047480896611887;2,17378357092457e-06
1802;0,0007108615363904391;0,0007181601404226967;0,0009493566039964207;0,0;0,0014941796052880818;0,0007472323886759114;0,0002786745653793332;5,218027633683656e-05;0,0006264572675718227;0,0004452249375693403;0,0008054506565713382;6,753930866428466e-06;0,0001340830742435628;0,00025502723192497945;2,3467315794315864e-06
1803;0,0008399095674706456;0,0007838867726864659;0,0010830477224642112;0,0;0,001500384197632749;0,0007557847441473443;0,00025401279799552867;4,5567555823871384e-05;0,0006093413763405156;0,00047335628486117845;0,0007551898404147193;6,630688277807297e-06;0,0001191363726401765;0,00026235821307198293;2,0114842109413596e-06
1804;0,0007812867871897261;0,0008307360790890275;0,0011086355763317052;0,0;0,0014690079167069467;0,0006876687751043521;0,0002591417228359205;4,7760075310472014e-05;0,0006077550941491998;0,0004695227581968149;0,0006852221336625267;8,56831984411396e-06;9,351548213893628e-05;0,00026357291795469403;4,587816602809523e-07
1805;0,0008020172572287265;0,0007318589447485076;0,0010762567204177945;0,0;0,0013556279035193647;0,0006346127585337464;0,0002071228457063106;4,8277831561043574e-05;0,0005190917395988695;0,00046871824516918944;0,000552432269224872;8,56831984411396e-06;6,269315981910495e-05;0,00020939335385605773;4,587816602809523e-07
1806;0,000993784202104767;0,0006264362371309419;0,0009604410284477386;0,0;0,0010506609344572229;0,0005471095196948486;0,00017925304039830995;4,2510876292161424e-05;0,00046610502652453894;0,0004252163535056752;0,0005035437295321442;8,56831984411396e-06;6,043971697725478e-05;0,00016099873475029978;4,587816602809523e-07
1807;0,0014713852514043019;0,000663848951327444;0,0009948026347826402;0,0;0,0009268937836688046;0,0005016714534836605;0,00016373244834864766;5,4457284091670636e-05;0,000416996899080654;0,00043194881657525135;0,0005007323222473912;7,3670527456215495e-06;4,962831309082308e-05;9,853284562869443e-05;4,587816602809523e-07
